id, position_x, position_y, position_z, pressure, acceleration_0, acceleration_1, acceleration_2, magnetic_0, magnetic_1, magnetic_2, angular_vel_0, angular_vel_1, angular_vel_2, euler_angles_0, euler_angles_1, euler_angles_2, quaternion_0, quaternion_1, quaternion_2, quaternion_3, linear_acceleration_0, linear_acceleration_1, linear_acceleration_2, gravity_vector_0, gravity_vector_1, gravity_vector_2, temperature
0x694c,2079,5008,5405,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1784,5087,713,100308500,0,-31,956,123,739,-220,0,0,-1,402,2,24,15990,-215,29,-3565,-1,-5,-22,2,-25,980,33
0x694c,2061,5068,5426,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1784,5087,713,100308250,0,-33,966,136,715,-227,-1,-3,-1,402,2,24,15990,-215,29,-3565,-2,-6,-16,2,-25,980,33
0x694c,2043,5020,5463,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1784,5087,713,100305750,0,-33,955,147,715,-227,2,-2,1,402,2,24,15990,-215,29,-3565,-2,-7,-18,2,-25,980,33
0x694c,2057,4984,5421,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1784,5087,713,100306000,0,-32,966,136,708,-227,-1,1,2,402,2,24,15990,-215,29,-3565,-2,-6,-11,2,-25,980,33
0x694c,2040,5050,5464,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1891,5161,662,100307750,-1,-31,968,136,702,-233,0,-1,0,402,2,24,15990,-215,29,-3565,-3,-6,-11,2,-25,980,33
0x694c,2066,5025,5439,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1891,5161,662,100309750,-1,-31,958,123,702,-240,0,4,1,402,2,24,15990,-215,29,-3565,-3,-6,-21,2,-25,980,33
0x694c,1855,5131,-656,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2104,5127,634,100305250,-2,-31,966,129,702,-220,5,1,0,402,2,24,15990,-215,29,-3565,-4,-6,-13,2,-25,980,33
0x694c,2043,5031,5429,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2104,5127,634,100308500,0,-34,954,140,726,-220,3,0,1,402,2,24,15990,-215,29,-3565,0,-7,-25,2,-25,980,33
0x694c,2059,5025,5413,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2104,5127,634,100306500,1,-34,969,147,715,-227,-3,-1,-2,402,2,24,15990,-215,29,-3565,-1,-8,-10,2,-25,980,33
0x694c,2036,5059,5485,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1919,5166,685,100309750,0,-33,966,147,702,-240,0,0,0,402,2,24,15990,-215,29,-3565,-1,-7,-14,2,-25,980,32
0x694c,2065,5050,5465,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,2066,5118,663,100309000,0,-32,967,129,672,-220,0,-1,-1,402,2,24,15990,-215,29,-3565,-2,-6,-13,2,-25,980,32
0x694c,2031,5076,5468,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1915,5110,662,100309500,0,-31,965,136,696,-214,3,3,1,402,2,24,15990,-215,29,-3565,-3,-6,-13,2,-25,980,32
0x694c,2055,5108,5504,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1915,5110,662,100308500,0,-33,964,140,726,-208,-2,1,1,402,2,24,15990,-215,29,-3565,-2,-7,-16,2,-25,980,32
0x694c,2040,5040,5438,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1926,5094,661,100311750,-1,-32,959,136,720,-227,0,-2,0,402,2,24,15990,-215,29,-3565,-3,-6,-20,2,-25,980,33
0x694c,2076,5081,5474,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1857,5145,698,100309000,1,-33,965,129,708,-233,-1,3,0,402,2,24,15990,-215,29,-3565,-3,-7,-11,2,-25,980,33
0x694c,2049,5096,5435,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1888,5144,679,100310750,0,-31,957,129,708,-233,-1,-3,0,402,2,24,15990,-215,29,-3565,-3,-6,-20,2,-25,980,33
0x694c,2005,5105,5502,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1887,5160,669,100309500,-2,-34,969,140,696,-240,-1,-2,-2,402,2,24,15990,-215,29,-3565,-4,-8,-10,2,-25,980,33
0x694c,2039,5109,5490,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1887,5160,669,100305750,-1,-32,967,147,696,-233,-2,-2,-2,402,2,24,15990,-215,29,-3565,-3,-6,-12,2,-25,980,33
0x694c,2030,5017,5431,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
0x6737,1944,5181,631,100305750,-1,-34,960,136,715,-220,0,2,1,402,2,24,15990,-215,29,-3565,-2,-6,-21,2,-25,980,33
0x694c,2029,4976,5437,98467750,-320,-919,-3,686,449,-89,17,-5,0,3855,-308,1450,5844,-8886,-7528,9932,2,6,6,-323,-925,-10,35
